ID Provincia,Nombre Provincia,ID Distrito,Nombre Distrito,Año de Referencia,Fuente,Valor,Unidad de Medida
12,"COMARCA NGÄBE BUGLÉ",09,"SANTA CATALINA O CALOVÉBORA (BLEDESHIA)",2023,"Censos de Población y Vivienda Década 2020",539,"personas"
13,"PANAMÁ OESTE",01,"ARRAIJÁN",2023,"Censos de Población y Vivienda Década 2020",139218,"personas"
13,"PANAMÁ OESTE",03,"CAPIRA",2023,"Censos de Población y Vivienda Década 2020",12604,"personas"
13,"PANAMÁ OESTE",04,"CHAME",2023,"Censos de Población y Vivienda Década 2020",9901,"personas"
13,"PANAMÁ OESTE",07,"LA CHORRERA",2023,"Censos de Población y Vivienda Década 2020",113033,"personas"
13,"PANAMÁ OESTE",09,"SAN CARLOS",2023,"Censos de Población y Vivienda Década 2020",7119,"personas"
TOTAL,"TOTAL NACIONAL",2023,"Censos de Población y Vivienda Década 2020",1021237,"personas"
TOTAL,"TOTAL NACIONAL",2023,"Censos de Población y Vivienda Década 2020",668429,"personas"
05,"DARIÉN",02,"PINOGANA",2023,"Censos de Población y Vivienda Década 2020",4413,"personas"
07,"LOS SANTOS",06,"POCRÍ",2023,"Censos de Población y Vivienda Década 2020",938,"personas"
